"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0.000824690819722836,0.555905140520994,0.336,0.3,1,"3","WAPL"
0.000829713424134415,0.506888047228085,0.375,0.346,1,"3","PMPCA"
0.000852821597001039,0.642167117354746,0.312,0.28,1,"3","RPS7P10"
0.000895344869906347,0.536512416420394,0.365,0.339,1,"3","MAP4K5"
0.000904841740687344,0.682235291485034,0.265,0.226,1,"3","BTBD7"
0.000908709915824688,0.72058835106904,0.273,0.235,1,"3","CDYL"
0.00095976644847466,0.609481273324078,0.286,0.244,1,"3","IMPDH1"
0.000961784320435873,0.609925762343124,0.299,0.26,1,"3","MKNK2"
0.000975308605269957,0.555084975517041,0.362,0.339,1,"3","PPIE"
0.00104934695822021,0.738675426818266,0.262,0.226,1,"3","RAB11FIP2"
0.00105356309392022,0.584858413840526,0.332,0.3,1,"3","THUMPD1"
0.00106237670651069,0.526025525403436,0.382,0.363,1,"3","TIMM10"
0.00110776859984505,0.705699861218892,0.256,0.217,1,"3","RTTN"
0.00115961028331589,0.519981075011692,0.367,0.345,1,"3","ISG20L2"
